%Name Lon Lat ux uy uz eux euy euz
AB06 -163.42345400042757 54.885322999350095 -0.0031118 -0.0010642  0.0015522 0.0000297 0.0000349 0.0000780
AC10 -164.88672999983683 54.522579999242880 -0.0068234 -0.0007091  0.0041480 0.0000378 0.0000401 0.0001143
AV24 -164.75480299959685 54.589984389721920 -0.0070062  0.0041970  0.0070009 0.0000476 0.0000514 0.0001437
AV25 -164.77949900014542 54.530000999554055 -0.0095322  0.0008298  0.0078931 0.0000709 0.0000577 0.0001689
AV26 -164.58046499959337 54.571652999902790  0.0022909  0.0064803  0.0087286 0.0000806 0.0000739 0.0001877
AV27 -164.72316399974300 54.492348999963870 -0.0110004 -0.0054324  0.0116542 0.0000795 0.0000795 0.0002118
AV29 -164.58614999989044 54.472350999691400  0.0017081 -0.0063726  0.0112581 0.0000983 0.0001063 0.0002260
FC01 -164.44030000047675 54.619000477499750  0.0020260  0.0029251 -0.0015658 0.0000675 0.0000841 0.0003294
FC02 -164.36529999920475 54.684700477129596 -0.0014370 -0.0029373 -0.0117225 0.0000681 0.0000905 0.0003686
FC03 -164.34049999983924 54.650000477053425 -0.0070791  0.0037038 -0.0077576 0.0000528 0.0000527 0.0001560
FC04 -164.31970000034113 54.738500476923626 -0.0022911 -0.0031890 -0.0016276 0.0000993 0.0000862 0.0006313
FC05 -164.42199999924404 54.694900477212215  0.0038382 -0.0046739 -0.0048668 0.0001182 0.0001771 0.0002830
