%Reference (Lon,Lat): -164.35598680205956,54.54378486124902, Dimensions: 521,868, Extent: -164.95272888220853,-164.06647286421406,54.38869946788435,54.92045307868102
-164.560 54.722 191.365311 33.392765 -0.002251 0.000000174     0   260     0   434
-164.913 54.593 191.239227 33.953163 -0.003284 0.000003818   292   325     0    54
-164.851 54.625 191.278336 33.768013 -0.002177 0.000350881   260   292    54   108
-164.892 54.600 191.267807 33.805752 -0.003464 0.000009691   308   316    54    67
-164.891 54.594 191.269424 33.793995 -0.004036 0.000004046   316   325    54    67
-164.879 54.600 191.279160 33.747673 -0.003584 0.000009653   308   316    67    81
-164.878 54.594 191.280716 33.736019 -0.003853 0.000007332   316   325    67    81
-164.852 54.610 191.294083 33.676666 -0.003009 0.000011182   292   308    81   108
-164.863 54.601 191.290466 33.689812 -0.003273 0.000006531   308   316    81    94
-164.865 54.593 191.292114 33.677727 -0.003169 0.000004841   316   325    81    94
-164.851 54.602 191.301712 33.632359 -0.002945 0.000004459   308   316    94   108
-164.851 54.593 191.303284 33.620419 -0.002671 0.000004419   316   325    94   108
-164.943 54.583 191.225891 34.012470 -0.002135 0.000007346   325   333     0    13
-164.945 54.577 191.227386 34.001400 -0.002211 0.000005939   333   341     0    13
-164.936 54.587 191.233856 33.972805 -0.002124 0.000008889   325   329    13    20
-164.936 54.583 191.234619 33.967312 -0.002376 0.000006133   329   333    13    20
-164.931 54.586 191.239655 33.943310 -0.002786 0.000043565   325   329    20    27
-164.929 54.583 191.240372 33.937840 -0.002860 0.000018476   329   333    20    27
-164.933 54.577 191.238602 33.944302 -0.002704 0.000003910   333   341    13    27
-164.944 54.569 191.228851 33.990120 -0.002279 0.000008328   341   349     0    13
-164.941 54.563 191.230316 33.978848 -0.002223 0.000019991   349   357     0    13
-164.933 54.569 191.240143 33.932674 -0.003131 0.000007021   341   349    13    27
-164.933 54.560 191.241623 33.921474 -0.004173 0.000007977   349   357    13    27
-164.912 54.581 191.255066 33.862385 -0.003015 0.000001095   325   341    27    54
-164.912 54.565 191.257996 33.840061 -0.002831 0.000001586   341   357    27    54
-164.941 54.552 191.231827 33.967567 -0.001973 0.000022284   357   365     0    13
-164.940 54.544 191.233292 33.956318 -0.001846 0.000033662   365   373     0    13
-164.933 54.552 191.243118 33.910156 -0.004250 0.000009183   357   365    13    27
-164.936 54.546 191.241348 33.916206 -0.003309 0.000036008   365   369    13    20
-164.936 54.542 191.242111 33.910286 -0.003319 0.000054164   369   373    13    20
-164.929 54.546 191.247040 33.887524 -0.004488 0.000015941   365   369    20    27
-164.929 54.542 191.247726 33.881588 -0.004540 0.000018703   369   373    20    27
-164.940 54.538 191.234787 33.944233 -0.001974 0.000136502   373   381     0    13
-164.939 54.539 191.241074 33.913837 -0.002225 0.000090684   373   375    13    16
-164.939 54.537 191.241379 33.911175 -0.001885 0.000024043   375   377    13    16
-164.935 54.539 191.243927 33.899231 -0.003905 0.000059665   373   375    16    20
-164.937 54.534 191.243622 33.898071 -0.002016 0.000082304   377   381    13    20
-164.929 54.538 191.248520 33.875435 -0.005135 0.000027142   373   377    20    27
-164.932 54.534 191.247177 33.880466 -0.003609 0.000048564   377   379    20    23
-164.932 54.533 191.247849 33.876072 -0.004028 0.000000221   379   381    20    23
-164.927 54.535 191.250473 33.863693 -0.005081 0.000084664   377   379    23    27
-164.927 54.532 191.250793 33.861015 -0.004520 0.000000223   379   381    23    27
-164.936 54.531 191.244339 33.892170 -0.001403 0.000006044   381   385    13    20
-164.928 54.529 191.250122 33.862648 -0.004904 0.000066971   381   385    20    27
-164.929 54.526 191.250961 33.855793 -0.002733 0.000018056   385   390    20    27
-164.912 54.548 191.260971 33.817421 -0.003992 0.000002729   357   373    27    54
-164.913 54.531 191.264023 33.792622 -0.004490 0.000001849   373   390    27    54
-164.871 54.573 191.290359 33.678085 -0.003349 0.000000552   325   357    54   108
-164.871 54.540 191.296402 33.633289 -0.003336 0.000000547   357   390    54   108
-164.800 54.628 191.323563 33.536209 -0.002999 0.000009491   260   292   108   162
-164.826 54.616 191.316696 33.561268 -0.002319 0.000012748   292   308   108   135
-164.837 54.602 191.313095 33.574001 -0.002616 0.000006034   308   316   108   121
-164.836 54.593 191.314682 33.562035 -0.002375 0.000004806   316   325   108   121
-164.825 54.602 191.324387 33.516380 -0.002186 0.000031422   308   316   121   135
-164.823 54.593 191.325928 33.504349 -0.001591 0.000006805   316   325   121   135
-164.802 54.616 191.339340 33.445808 -0.002735 0.000004903   292   308   135   162
-164.800 54.596 191.342377 33.422070 -0.001822 0.000002305   308   325   135   162
-164.745 54.628 191.369232 33.301712 -0.002095 0.000003267   260   292   162   217
-164.771 54.614 191.361908 33.330601 -0.002558 0.000004067   292   308   162   189
-164.774 54.597 191.364929 33.306705 -0.002163 0.000001460   308   325   162   189
-164.746 54.615 191.384979 33.212540 -0.000800 0.000002066   292   308   189   217
-164.753 54.602 191.381302 33.225918 -0.001503 0.000005194   308   316   189   203
-164.753 54.594 191.382858 33.213772 -0.001336 0.000004933   316   325   189   203
-164.739 54.602 191.392990 33.166348 -0.000377 0.000002415   308   316   203   217
-164.741 54.594 191.394577 33.154579 -0.000338 0.000003554   316   325   203   217
-164.829 54.581 191.322815 33.514626 -0.002317 0.000002124   325   341   108   135
-164.829 54.565 191.325775 33.494083 -0.002727 0.000001778   341   357   108   135
-164.802 54.581 191.345413 33.398449 -0.000918 0.000001889   325   341   135   162
-164.801 54.565 191.348328 33.378811 -0.000946 0.000002190   341   357   135   162
-164.829 54.548 191.328705 33.473770 -0.002855 0.000002005   357   373   108   135
-164.830 54.531 191.331757 33.451019 -0.003393 0.000001989   373   390   108   135
-164.810 54.552 191.344635 33.394367 -0.001811 0.000008121   357   365   135   148
-164.810 54.544 191.346115 33.384407 -0.001734 0.000006801   365   373   135   148
-164.795 54.552 191.356003 33.336498 -0.000448 0.000002776   357   365   148   162
-164.795 54.545 191.357452 33.326893 -0.000861 0.000006543   365   373   148   162
-164.810 54.536 191.347565 33.373486 -0.002553 0.000006292   373   381   135   148
-164.810 54.528 191.349182 33.361332 -0.002979 0.000006299   381   390   135   148
-164.799 54.537 191.355591 33.333958 -0.002091 0.000010409   373   377   148   155
-164.800 54.534 191.356277 33.328690 -0.002413 0.000035184   377   381   148   155
-164.793 54.538 191.361481 33.303993 -0.002279 0.000116203   373   377   155   162
-164.798 54.527 191.360428 33.304714 -0.002156 0.000012962   381   390   148   162
-164.774 54.581 191.367981 33.283169 -0.001493 0.000001517   325   341   162   189
-164.774 54.565 191.370911 33.263992 -0.000731 0.000001161   341   357   162   189
-164.753 54.581 191.391006 33.167213 -0.001024 0.000002607   325   341   189   217
-164.754 54.565 191.393921 33.149029 -0.000863 0.000002182   341   357   189   217
-164.771 54.547 191.387115 33.176544 -0.000300 0.000000969   357   390   162   217
-164.928 54.520 191.244537 33.882584 -0.002111 0.000027753   390   406     0    27
-164.923 54.521 191.257202 33.821114 -0.002867 0.000036415   390   394    27    33
-164.924 54.518 191.257919 33.815197 -0.001785 0.000044484   394   398    27    33
-164.916 54.521 191.262650 33.793255 -0.003573 0.000012979   390   394    33    40
-164.916 54.517 191.263397 33.787315 -0.003438 0.000019791   394   398    33    40
-164.915 54.513 191.261963 33.791039 -0.002468 0.000080856   398   406    27    40
-164.906 54.519 191.271820 33.745342 -0.003748 0.000004484   390   398    40    54
-164.905 54.512 191.273300 33.733028 -0.003897 0.000027464   398   406    40    54
